,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2846.2532488979696
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,854.4901796539851
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1457.2409624272427
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7208.254616810607
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,18288.83722827631
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13082.83898906028
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4318.915664475421
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2642.3111566618686
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2422.697404885312
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3854.3012206386675
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5765.771134386578
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,816.878195649849
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1402.160216226249
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,783.612829897504
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1522.4763866514074
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1481.5434690813754
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,368.7447119905204
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20594.201733734157
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4187.471991728565
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,781.4159302928131
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4146.552927891363
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,801.2985101708848
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3996.1518065293208
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4925.69369300649
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6840.357679601931
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1068.9337224544342
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2267.038900375682
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2046.892689915527
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1399.7362659125401
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1111.9067723713424
